circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
QAOA-3reg,23,4,5.729909699992277,FS+Pre+ttl+SE+ema,10,1,1.0
QAOA-3reg,23,4,5.669584299961571,FS,10,1,0.9
QAOA-3reg,23,4,5.862841099966317,PR,10,1,0.9
QAOA-3reg,23,4,6.721404499898199,Full,10,0,0.0
RCA,3,3,0.013650899869389832,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,3,3,0.03937349998159334,FS,10,1,0.9
RCA,3,3,0.24681829998735338,PR,10,0,0.0
RCA,3,3,0.21707680000690743,Full,10,0,0.0
RCA,3,4,0.011505200061947107,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,3,4,0.034997699956875294,FS,10,1,0.9
RCA,3,4,0.2687532000709325,PR,10,0,0.0
RCA,3,4,0.2292431999812834,Full,10,0,0.0
RCA,11,3,0.020785999891813844,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,11,3,0.04693390004104003,FS,10,1,0.9
RCA,11,3,0.3413586000679061,PR,10,0,0.0
RCA,11,3,0.25725279992911965,Full,10,0,0.0
RCA,11,4,0.023433900030795485,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,11,4,0.05112989991903305,FS,10,1,0.9
RCA,11,4,0.37666189996525645,PR,10,0,0.0
RCA,11,4,0.2589638999197632,Full,10,0,0.0
RCA,17,3,0.05809550010599196,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,17,3,0.10673809994477779,FS,10,1,0.9
RCA,17,3,0.846008200023789,PR,10,0,0.0
RCA,17,3,0.5724218999966979,Full,10,0,0.0
RCA,17,4,0.07201230002101511,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,17,4,0.12490420008543879,FS,10,1,0.9
RCA,17,4,0.9587199999950826,PR,10,0,0.0
RCA,17,4,0.6014480000012554,Full,10,0,0.0
RCA,23,3,1.7763101998716593,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,23,3,1.9052291000261903,FS,10,1,0.9
RCA,23,3,2.97580469987588,PR,10,0,0.0
RCA,23,3,2.444094299688004,Full,10,0,0.0
RCA,23,4,2.3215644999872893,FS+Pre+ttl+SE+ema,10,1,1.0
RCA,23,4,2.4190927999443375,FS,10,1,0.9
RCA,23,4,3.325763000000734,PR,10,0,0.0
RCA,23,4,3.1622848999104463,Full,10,0,0.0
VQE-Full,3,3,0.013445799995679408,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,3,3,0.03706689988030121,FS,10,1,0.9
VQE-Full,3,3,0.27543049986707047,PR,10,0,0.0
VQE-Full,3,3,0.23021920007886365,Full,10,0,0.0
VQE-Full,3,4,0.013965400052256882,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,3,4,0.04355789988767356,FS,10,1,0.9
VQE-Full,3,4,0.3138759000576101,PR,10,0,0.0
VQE-Full,3,4,0.30503160011721775,Full,10,0,0.0
VQE-Full,11,3,0.026833000010810792,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,11,3,0.05704800004605204,FS,10,1,0.9
VQE-Full,11,3,0.3895312999957241,PR,10,0,0.0
VQE-Full,11,3,0.273453299945686,Full,10,0,0.0
VQE-Full,11,4,0.032536900078412145,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,11,4,0.05991849990095943,FS,10,1,0.9
VQE-Full,11,4,0.4283987999660894,PR,10,0,0.0
VQE-Full,11,4,0.28082650009309873,Full,10,0,0.0
VQE-Full,17,3,0.08433069998864084,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,17,3,0.31724580004811287,FS,10,1,0.9
VQE-Full,17,3,0.9871059998986311,PR,10,0,0.0
VQE-Full,17,3,0.7127711999346502,Full,10,0,0.0
VQE-Full,17,4,0.10314280015882105,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,17,4,0.17026899999473244,FS,10,1,0.9
VQE-Full,17,4,1.0541322999633849,PR,10,0,0.0
VQE-Full,17,4,0.8541374001069926,Full,10,0,0.0
VQE-Full,23,3,2.7228011000552215,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,23,3,2.7647378001129255,FS,10,1,0.9
VQE-Full,23,3,3.942461100057699,PR,10,0,0.0
VQE-Full,23,3,3.35197589994641,Full,10,0,0.0
VQE-Full,23,4,3.6145211998955347,FS+Pre+ttl+SE+ema,10,1,1.0
VQE-Full,23,4,3.726763100072276,FS,10,1,0.9
VQE-Full,23,4,4.902264999982435,PR,10,0,0.0
VQE-Full,23,4,4.319949299853761,Full,10,0,0.0
QSIM-XXZ,3,3,0.015480600006412715,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,3,3,0.038279099913779646,FS,10,1,0.9
QSIM-XXZ,3,3,0.05084990005707368,PR,10,1,0.9
QSIM-XXZ,3,3,0.24488950020167977,Full,10,0,0.0
QSIM-XXZ,3,4,0.01748140004929155,FS+Pre+ttl+SE+ema,10,1,1.0
