size,round,method,e2e_latency,final_cache_size,final_hitrate
400,3,FS+Pre,6.285701898857951,96,0.77
400,3,FS,6.042473699897528,96,0.76
400,3,PR,13.717896599788219,51,0.4625
400,4,FS+Pre+ttl+SE+ema,7.020723398309201,80,0.715
400,4,FS+Pre+ttl+SE,7.033418002072722,80,0.715
400,4,FS+Pre+ttl,6.189317998941988,95,0.77
400,4,FS+Pre,6.62522149970755,96,0.77
400,4,FS,5.935105098877102,96,0.76
400,4,PR,18.643760301638395,54,0.415
400,5,FS+Pre+ttl+SE+ema,8.268512601964176,75,0.7275
400,5,FS+Pre+ttl+SE,7.123468199279159,75,0.7275
400,5,FS+Pre+ttl,6.331349800340831,95,0.77
400,5,FS+Pre,5.920650199521333,96,0.77
400,5,FS,6.636520201340318,96,0.76
400,5,PR,12.99683109484613,58,0.475
450,1,FS+Pre+ttl+SE+ema,6.874599199742079,74,0.7466666666666667
450,1,FS+Pre+ttl+SE,6.857610898092389,74,0.7466666666666667
450,1,FS+Pre+ttl,5.458728195633739,94,0.8
450,1,FS+Pre,5.939780201297253,94,0.8
450,1,FS,5.562381397001445,94,0.7911111111111111
450,1,PR,20.21353009995073,55,0.37333333333333335
450,2,FS+Pre+ttl+SE+ema,7.007249001879245,74,0.7466666666666667
450,2,FS+Pre+ttl+SE,6.713699496816844,74,0.7466666666666667
450,2,FS+Pre+ttl,6.034108198713511,101,0.7844444444444445
450,2,FS+Pre,6.0772281009703875,101,0.7844444444444445
450,2,FS,6.219442000146955,101,0.7755555555555556
450,2,PR,17.88796210102737,60,0.47555555555555556
450,3,FS+Pre+ttl+SE+ema,7.711721797008067,82,0.7266666666666667
450,3,FS+Pre+ttl+SE,7.7853559027425945,82,0.7266666666666667
450,3,FS+Pre+ttl,8.0775185986422,107,0.7622222222222222
450,3,FS+Pre,7.841931698843837,108,0.7666666666666667
450,3,FS,7.187173695769161,108,0.76
450,3,PR,21.894286297261715,63,0.4088888888888889
450,4,FS+Pre+ttl+SE+ema,8.26113519910723,69,0.7577777777777778
450,4,FS+Pre+ttl+SE,8.567752500064671,69,0.7577777777777778
450,4,FS+Pre+ttl,6.353647499345243,92,0.8022222222222222
450,4,FS+Pre,6.389439400285482,93,0.8022222222222222
450,4,FS,5.95669769635424,93,0.7933333333333333
450,4,PR,22.77074279822409,55,0.48444444444444446
450,5,FS+Pre+ttl+SE+ema,6.705814698245376,75,0.7422222222222222
450,5,FS+Pre+ttl+SE,8.055084498599172,75,0.7422222222222222
450,5,FS+Pre+ttl,5.853934200014919,100,0.7844444444444445
450,5,FS+Pre,5.898855199106038,100,0.7844444444444445
450,5,FS,5.856093801558018,100,0.7777777777777778
450,5,PR,14.500352198723704,59,0.4222222222222222
500,1,FS+Pre+ttl+SE+ema,8.088784400839359,88,0.734
500,1,FS+Pre+ttl+SE,8.613245800603181,88,0.734
500,1,FS+Pre+ttl,6.7304530018009245,111,0.782
500,1,FS+Pre,6.755529499612749,111,0.784
500,1,FS,7.212753200437874,111,0.778
500,1,PR,21.15145169897005,64,0.448
500,2,FS+Pre+ttl+SE+ema,8.135052798781544,79,0.754
500,2,FS+Pre+ttl+SE,8.206717496737838,79,0.754
500,2,FS+Pre+ttl,6.537695098668337,103,0.802
500,2,FS+Pre,6.57168200192973,103,0.802
500,2,FS,7.155728103592992,103,0.794
500,2,PR,16.919494906440377,56,0.51
500,3,FS+Pre+ttl+SE+ema,8.312601602170616,85,0.74
500,3,FS+Pre+ttl+SE,7.972593200393021,85,0.74
500,3,FS+Pre+ttl,6.890017000492662,103,0.794
500,3,FS+Pre,6.435561301652342,106,0.794
500,3,FS,6.54784509819001,106,0.788
500,3,PR,20.69512880081311,60,0.464
500,4,FS+Pre+ttl+SE+ema,8.16193410102278,78,0.754
500,4,FS+Pre+ttl+SE,7.683596498798579,78,0.754
500,4,FS+Pre+ttl,5.958059099968523,98,0.81
500,4,FS+Pre,9.14774820022285,98,0.81
500,4,FS,5.992768600117415,98,0.804
500,4,PR,23.37929270369932,53,0.406
500,5,FS+Pre+ttl+SE+ema,8.40921409521252,86,0.738
500,5,FS+Pre+ttl+SE,10.005388599354774,86,0.738
500,5,FS+Pre+ttl,7.002314602024853,109,0.786
500,5,FS+Pre,6.779280900489539,110,0.786
500,5,FS,9.113479298073798,110,0.78
500,5,PR,19.38638739613816,65,0.496
