circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
LinearEnt\_q5\_d8,0.284,0.093,3.07,0.257,0.002,0.051,0.015,0.068,3.77
LinearEnt\_q5\_d16,0.438,0.149,2.94,0.395,0.004,0.083,0.022,0.109,3.61
LinearEnt\_q5\_d32,0.799,0.226,3.54,0.649,0.006,0.126,0.041,0.174,3.74
LinearEnt\_q6\_d1,0.195,0.060,3.24,0.175,0.001,0.042,0.001,0.043,4.02
LinearEnt\_q6\_d2,0.203,0.061,3.36,0.185,0.001,0.037,0.006,0.044,4.23
LinearEnt\_q6\_d4,0.453,0.094,4.83,0.404,0.001,0.057,0.009,0.067,6.01
LinearEnt\_q6\_d8,0.457,0.202,2.26,0.408,0.003,0.072,0.095,0.170,2.41
LinearEnt\_q6\_d16,1.022,0.296,3.45,0.965,0.005,0.188,0.042,0.235,4.10
LinearEnt\_q6\_d32,1.084,0.449,2.41,1.007,0.012,0.214,0.086,0.313,3.22
LinearEnt\_q7\_d1,0.212,0.060,3.52,0.192,0.001,0.039,0.002,0.042,4.57
LinearEnt\_q7\_d2,0.240,0.067,3.59,0.217,0.001,0.042,0.005,0.048,4.55
LinearEnt\_q7\_d4,0.291,0.088,3.30,0.256,0.001,0.052,0.010,0.064,4.04
LinearEnt\_q7\_d8,0.620,0.313,1.98,0.570,0.004,0.110,0.134,0.248,2.29
LinearEnt\_q7\_d16,0.794,0.212,3.75,0.737,0.005,0.122,0.033,0.159,4.62
LinearEnt\_q7\_d32,1.269,0.501,2.53,1.176,0.009,0.213,0.186,0.408,2.88
QFT-Like\_q3\_d1,0.160,0.043,3.72,0.148,0.000,0.031,0.001,0.032,4.68
QFT-Like\_q3\_d2,0.179,0.050,3.58,0.166,0.001,0.034,0.003,0.037,4.48
QFT-Like\_q3\_d4,0.241,0.070,3.43,0.219,0.001,0.045,0.006,0.052,4.21
QFT-Like\_q3\_d8,0.444,0.133,3.33,0.402,0.001,0.085,0.017,0.104,3.88
QFT-Like\_q3\_d16,0.691,0.244,2.83,0.648,0.002,0.170,0.022,0.195,3.33
QFT-Like\_q3\_d32,1.538,0.363,4.23,1.455,0.004,0.241,0.041,0.287,5.07
QFT-Like\_q5\_d1,0.352,0.086,4.11,0.329,0.001,0.063,0.001,0.065,5.06
QFT-Like\_q5\_d2,0.439,0.094,4.67,0.412,0.001,0.064,0.004,0.069,5.94
QFT-Like\_q5\_d4,0.691,0.241,2.87,0.645,0.002,0.106,0.009,0.118,5.48
QFT-Like\_q5\_d8,1.258,0.311,4.05,1.190,0.003,0.222,0.019,0.244,4.89
QFT-Like\_q5\_d16,2.141,0.683,3.13,1.940,0.006,0.535,0.029,0.570,3.40
QFT-Like\_q5\_d32,5.270,1.436,3.67,4.941,0.011,1.132,0.053,1.197,4.13
QFT-Like\_q6\_d1,0.360,0.091,3.96,0.336,0.001,0.066,0.002,0.069,4.89
QFT-Like\_q6\_d2,0.558,0.134,4.16,0.524,0.001,0.098,0.004,0.104,5.05
QFT-Like\_q6\_d4,0.959,0.291,3.29,0.904,0.003,0.227,0.010,0.240,3.77
QFT-Like\_q6\_d8,1.531,0.640,2.39,1.432,0.006,0.368,0.129,0.502,2.85
QFT-Like\_q6\_d16,3.006,0.810,3.71,2.834,0.008,0.530,0.031,0.569,4.98
QFT-Like\_q6\_d32,5.971,1.558,3.83,5.381,0.016,1.007,0.076,1.099,4.90
QFT-Like\_q7\_d1,0.449,0.124,3.62,0.421,0.001,0.091,0.003,0.095,4.44
QFT-Like\_q7\_d2,0.741,0.185,4.00,0.700,0.002,0.140,0.005,0.147,4.76
QFT-Like\_q7\_d4,1.443,0.442,3.27,1.377,0.003,0.284,0.088,0.375,3.67
QFT-Like\_q7\_d8,2.796,0.771,3.63,2.583,0.006,0.551,0.090,0.648,3.99
QFT-Like\_q7\_d16,5.257,1.274,4.13,4.725,0.011,0.899,0.132,1.042,4.53
QFT-Like\_q7\_d32,10.847,2.733,3.97,10.307,0.022,1.918,0.082,2.021,5.10
