method,method_disp,method_order,kind,circuit_label,circuit_idx,start,dur,end,offset,bar
FullCompilation,FullComp,0,run,LinearEnt_q11_d6,9,1.0126694000027783,0.07637360000080662,1.089043000003585,1.0126694000027783,0.07637360000080662
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d8,2,1.089043000003585,0.0423317999993742,1.131374800002959,1.089043000003585,0.0423317999993742
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d6,4,1.131374800002959,0.03273379999882309,1.1641086000017822,1.131374800002959,0.03273379999882309
FullCompilation,FullComp,0,run,VQE-Full_q11_d4,15,1.1641086000017822,0.02979120000236435,1.1938998000041465,1.1641086000017822,0.02979120000236435
FullCompilation,FullComp,0,run,GHZ-Chain_q13_d2,16,1.1938998000041465,0.02591960000063409,1.2198194000047806,1.1938998000041465,0.02591960000063409
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d8,3,1.2198194000047806,0.023354299999482464,1.243173700004263,1.2198194000047806,0.023354299999482464
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d2,17,1.243173700004263,0.022365399996488122,1.2655391000007512,1.243173700004263,0.022365399996488122
FullCompilation,FullComp,0,run,QSIM-XXZ_q11_d2,18,1.2655391000007512,0.03244279999853461,1.2979818999992858,1.2655391000007512,0.03244279999853461
FullCompilation,FullComp,0,run,LinearEnt_q13_d6,19,1.2979818999992858,0.04246269999930519,1.340444599998591,1.2979818999992858,0.04246269999930519
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d6,6,1.340444599998591,0.05822759999864502,1.398672199997236,1.340444599998591,0.05822759999864502
FullCompilation,FullComp,0,run,QAOA-3reg_q13_d2,20,1.398672199997236,0.0697031000017887,1.4683752999990247,1.398672199997236,0.0697031000017887
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d6,6,1.4683752999990247,0.067170400001487,1.5355457000005117,1.4683752999990247,0.067170400001487
FullCompilation,FullComp,0,run,LinearEnt_q15_d4,21,1.5355457000005117,0.07572470000013709,1.6112704000006488,1.5355457000005117,0.07572470000013709
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d8,2,1.6112704000006488,0.06738659999973606,1.6786570000003849,1.6112704000006488,0.06738659999973606
FullCompilation,FullComp,0,run,LinearEnt_q15_d4,21,1.6786570000003849,0.055114200000389246,1.7337712000007741,1.6786570000003849,0.055114200000389246
FullCompilation,FullComp,0,run,LinearEnt_q13_d6,19,1.7337712000007741,0.08371560000159661,1.8174868000023707,1.7337712000007741,0.08371560000159661
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d2,7,1.8174868000023707,0.03304329999809852,1.8505301000004692,1.8174868000023707,0.03304329999809852
FullCompilation,FullComp,0,run,GHZ-Chain_q15_d2,14,1.8505301000004692,0.024270799996884307,1.8748008999973536,1.8505301000004692,0.024270799996884307
FullCompilation,FullComp,0,run,LinearEnt_q15_d4,21,1.8748008999973536,0.07654699999693548,1.951347899994289,1.8748008999973536,0.07654699999693548
FullCompilation,FullComp,0,run,QAOA-3reg_q7_d4,22,1.951347899994289,0.06643410000106087,2.01778199999535,1.951347899994289,0.06643410000106087
