circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
QSIM-XXZ,3,1,0.012376300001051277,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,3,1,0.03393790003610775,FS,10,1,0.9
QSIM-XXZ,3,1,0.060131500009447336,PR,10,1,0.9
QSIM-XXZ,3,1,0.23855620017275214,Full,10,0,0.0
QSIM-XXZ,3,2,0.015207699965685606,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,3,2,0.042095899931155145,FS,10,1,0.9
QSIM-XXZ,3,2,0.08501299988711253,PR,10,1,0.9
QSIM-XXZ,3,2,0.24286840012064204,Full,10,0,0.0
QSIM-XXZ,11,1,0.028693899977952242,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,11,1,0.05124440003419295,FS,10,1,0.9
QSIM-XXZ,11,1,0.1368974000797607,PR,10,1,0.9
QSIM-XXZ,11,1,0.282934499962721,Full,10,0,0.0
QSIM-XXZ,11,2,0.03666480001993477,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,11,2,0.06830339989392087,FS,10,1,0.9
QSIM-XXZ,11,2,0.2302239000564441,PR,10,1,0.9
QSIM-XXZ,11,2,0.3194169999915175,Full,10,0,0.0
QSIM-XXZ,17,1,0.05090719985309988,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,17,1,0.11336109996773303,FS,10,1,0.9
QSIM-XXZ,17,1,0.27152529975865036,PR,10,1,0.9
QSIM-XXZ,17,1,0.6284646000131033,Full,10,0,0.0
QSIM-XXZ,17,2,0.0819220999837853,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,17,2,0.15908049995778129,FS,10,1,0.9
QSIM-XXZ,17,2,0.4359463998116553,PR,10,1,0.9
QSIM-XXZ,17,2,0.7518088999786414,Full,10,0,0.0
QSIM-XXZ,23,1,0.6277931000222452,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,23,1,0.7000719998613931,FS,10,1,0.9
QSIM-XXZ,23,1,1.0907804000307806,PR,10,1,0.9
QSIM-XXZ,23,1,1.2943473000777885,Full,10,0,0.0
QSIM-XXZ,23,2,0.9988673001062125,FS+Pre+ttl+SE+ema,10,1,1.0
QSIM-XXZ,23,2,1.0884926998987794,FS,10,1,0.9
QSIM-XXZ,23,2,1.4454820999526419,PR,10,1,0.9
QSIM-XXZ,23,2,1.7725129998871125,Full,10,0,0.0
