label,index,transT,loadT,bindT,execT
RCA_q11_d2,67,0.0,5.00120222568512e-07,0,0.001712600002065301
GHZ_q13_d2,68,0.0,6.00004568696022e-07,0,0.001821999903768301
VQE_q15_d8,69,0.034424199955537915,4.00003045797348e-07,0,0.009601400000974536
QSIM_q7_d8,70,0.0,1.200009137392044e-06,0,0.011297499993816018
LinearEnt_q11_d4,71,0.0,1.300126314163208e-06,0,0.006158999865874648
GHZ_q11_d6,72,0.0,1.00000761449337e-06,0,0.0031579998321831226
Bell_q7_d6,73,0.0,1.400010660290718e-06,0,0.0015850001946091652
QSIM_q11_d6,74,0.0,1.0998919606208801e-06,0,0.015323900151997805
LinearEnt_q5_d4,75,0.0,1.6998965293169022e-06,0,0.003280299948528409
LinearEnt_q11_d4,76,0.0,8.00006091594696e-07,0,0.006355100078508258
