label,index,transT,loadT,bindT,execT
LinearEnt_q11_d4,71,0.0,7.00121745467186e-07,0,0.0036420999094843864
GHZ_q11_d6,72,0.0,6.00004568696022e-07,0,0.001728300005197525
Bell_q7_d6,73,0.0,2.998858690261841e-07,0,0.001090899808332324
QSIM_q11_d6,74,0.0,7.00121745467186e-07,0,0.008108000038191676
LinearEnt_q5_d4,75,0.0,4.998873919248581e-07,0,0.0016340999864041805
LinearEnt_q11_d4,76,0.0,6.00004568696022e-07,0,0.0034968999680131674
VQE_q11_d8,77,0.027625999879091978,2.998858690261841e-07,0,0.005056800087913871
QFT_q13_d6,78,0.0,1.100124791264534e-06,0,0.013160000089555979
QSIM_q7_d8,79,0.0,1.4998950064182281e-06,0,0.006047699833288789
RCA_q7_d2,80,0.0,5.997717380523682e-07,0,0.001550300046801567
GHZ_q5_d2,81,0.0,5.00120222568512e-07,0,0.0015109998639672995
QAOA_q13_d6,82,0.037914999993517995,5.00120222568512e-07,0,0.01562780002132058
LinearEnt_q5_d4,83,0.0,6.00004568696022e-07,0,0.001941199880093336
LinearEnt_q11_d4,84,0.0,4.00003045797348e-07,0,0.0031528000254184008
RCA_q7_d2,85,0.0,4.00003045797348e-07,0,0.0014816999901086092
LinearEnt_q15_d4,86,0.030820999993011355,5.00120222568512e-07,0,0.006351100048050284
VQE_q15_d8,87,0.0,8.00006091594696e-07,0,0.01649360009469092
VQE_q7_d2,88,0.0,6.998889148235321e-07,0,0.002890900010243058
VQE_q15_d6,89,0.05412569991312921,4.998873919248581e-07,0,0.012670299969613552
GHZ_q7_d4,90,0.04136170004494488,6.00004568696022e-07,0,0.0025168999563902617
QSIM_q13_d8,91,0.046704000094905496,5.00120222568512e-07,0,0.022154000122100115
VQE_q13_d8,92,0.0,5.00120222568512e-07,0,0.007546599954366684
QAOA_q13_d2,93,0.028469600016251206,2.998858690261841e-07,0,0.006828400073572993
QAOA_q5_d8,94,0.0,6.00004568696022e-07,0,0.004049999872222543
LinearEnt_q5_d6,95,0.027827899903059006,3.0011869966983795e-07,0,0.0022275999654084444
RCA_q7_d8,96,0.025640100007876754,5.00120222568512e-07,0,0.0027048999909311533
LinearEnt_q5_d6,97,0.0,4.00003045797348e-07,0,0.0019449000246822834
Bell_q15_d4,98,0.0,5.00120222568512e-07,0,0.001049600075930357
QSIM_q5_d6,99,0.0,5.00120222568512e-07,0,0.003424399998039007
LinearEnt_q5_d2,100,0.0,6.00004568696022e-07,0,0.001569399842992425
VQE_q11_d6,101,0.026417599990963936,6.00004568696022e-07,0,0.004301499808207154
