Circuit,Qubits,Depth,Speedup_vs_Full,Method,N,E2E_Latency_s
QFT-Like,3,1,19.615562622766454,FS+Pre+ttl+SE+ema,10,0.0119156001019291
QFT-Like,3,1,6.528385042079267,FS,10,0.0358023000298999
QFT-Like,3,1,0.7612166767501372,PR,10,0.3070494999992661
QFT-Like,3,1,1.0,Full,10,0.2337311999872326
QFT-Like,3,2,18.894309727734235,FS+Pre+ttl+SE+ema,10,0.0129036997677758
QFT-Like,3,2,6.625536696682638,FS,10,0.0367980001028627
QFT-Like,3,2,0.6930376868117578,PR,10,0.351794000074733
QFT-Like,3,2,1.0,Full,10,0.2438065000460483
QFT-Like,11,1,13.726611902421137,FS+Pre+ttl+SE+ema,10,0.031394200050272
QFT-Like,11,1,5.554000377164266,FS,10,0.0775902000023052
QFT-Like,11,1,0.358694467906332,PR,10,1.2014013000880368
QFT-Like,11,1,1.0,Full,10,0.4309360000770539
QFT-Like,11,2,12.967319839454698,FS+Pre+ttl+SE+ema,10,0.0437544000451453
QFT-Like,11,2,6.031635994807804,FS,10,0.0940668999683111
QFT-Like,11,2,0.26004627017842274,PR,10,2.181832100031897
QFT-Like,11,2,1.0,Full,10,0.5673772997688502
QFT-Like,17,1,6.310762296203539,FS+Pre+ttl+SE+ema,10,0.1840248999651521
QFT-Like,17,1,5.387216753842176,FS,10,0.2155728000798262
QFT-Like,17,1,0.37381978412847944,PR,10,3.106677200004924
QFT-Like,17,1,1.0,Full,10,1.1613374002627097
QFT-Like,17,2,9.662611749799868,FS+Pre+ttl+SE+ema,10,0.1638261001207865
QFT-Like,17,2,5.305990015641854,FS,10,0.298339799977839
QFT-Like,17,2,0.29756158555629225,PR,10,5.319866799982265
QFT-Like,17,2,1.0,Full,10,1.5829879999510013
QFT-Like,23,1,1.3364042206238465,FS+Pre+ttl+SE+ema,10,4.295392600120977
QFT-Like,23,1,1.2813119192628852,FS,10,4.480080699897371
QFT-Like,23,1,0.6269467220083721,PR,10,9.156090300064534
QFT-Like,23,1,1.0,Full,10,5.740380800038111
