circuit,q,d,N,method,transT,execT,e2e_latency,final_cache_size,final_hitrate
QAOA-3reg,17,4,10,FullComp,0.7891925999429077,0.1847870999481529,0.9739796998910606,0,0.0
QAOA-3reg,23,4,10,TransCache,1.0600080713629723e-05,6.051259899977595,6.051270500058308,1,1.0
QAOA-3reg,23,4,10,FullComp,0.8827684001298621,5.737966399639845,6.620734799769707,0,0.0
RCA,3,4,10,TransCache,4.100031219422817e-06,0.011178300017490983,0.011182400048710406,1,1.0
RCA,3,4,10,FullComp,0.21500930027104914,0.012325699906796217,0.22733500017784536,0,0.0
RCA,11,4,10,TransCache,4.400033503770828e-06,0.02327259990852326,0.023276999942027032,1,1.0
RCA,11,4,10,FullComp,0.2484738997882232,0.02419849985744804,0.27267239964567125,0,0.0
RCA,17,4,10,TransCache,1.2599979527294636e-05,0.08586600003764033,0.08587860001716763,1,1.0
RCA,17,4,10,FullComp,0.5129563001682982,0.07846170011907816,0.5914180002873763,0,0.0
RCA,23,4,10,TransCache,1.0199961252510548e-05,2.4842485000845045,2.484258700045757,1,1.0
RCA,23,4,10,FullComp,0.6141917000059038,2.4561711999122053,3.070362899918109,0,0.0
VQE-Full,3,4,10,TransCache,4.200031980872154e-06,0.013837399776093662,0.013841599808074534,1,1.0
VQE-Full,3,4,10,FullComp,0.2220449000597,0.014475800096988678,0.2365207001566887,0,0.0
VQE-Full,11,4,10,TransCache,4.500034265220165e-06,0.03324029967188835,0.03324479970615357,1,1.0
VQE-Full,11,4,10,FullComp,0.2489380001788959,0.0344422998605296,0.2833803000394255,0,0.0
VQE-Full,17,4,10,TransCache,8.500064723193645e-06,0.10125859978143126,0.10126709984615445,1,1.0
VQE-Full,17,4,10,FullComp,0.5590133999940008,0.10647649981547147,0.6654898998094723,0,0.0
VQE-Full,23,4,10,TransCache,9.500072337687016e-06,3.866914700018242,3.8669242000905797,1,1.0
VQE-Full,23,4,10,FullComp,0.7126979000167921,4.435455000028014,5.148152900044806,0,0.0
QSIM-XXZ,3,4,10,TransCache,4.100031219422817e-06,0.01719859999138862,0.017202700022608042,1,1.0
QSIM-XXZ,3,4,10,FullComp,0.2647224998800084,0.021167999948374927,0.2858904998283833,0,0.0
QSIM-XXZ,11,4,10,TransCache,1.0299962013959885e-05,0.06945589976385236,0.06946619972586632,1,1.0
QSIM-XXZ,11,4,10,FullComp,0.3583321998594329,0.06988340022508055,0.4282156000845134,0,0.0
QSIM-XXZ,17,4,10,TransCache,9.499839507043362e-06,0.13399949995800853,0.13400899979751557,1,1.0
QSIM-XXZ,17,4,10,FullComp,0.8791860002093017,0.14224420010577887,1.0214302003150806,0,0.0
QSIM-XXZ,23,4,10,TransCache,1.2299977242946625e-05,2.142860500025563,2.142872800002806,1,1.0
QSIM-XXZ,23,4,10,FullComp,0.942853800021112,1.719539999961853,2.662393799982965,0,0.0
