size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
200,0,TransCache,199.08203125,,23.015554428100586,True,
200,0,FS,192.72265625,,21.66593837738037,True,
200,0,PR,248.8828125,,51.910202980041504,True,
200,1,TransCache,195.796875,,23.054616928100586,True,
200,1,FS,191.80078125,,21.659127235412598,True,
200,1,PR,249.59375,,52.02597618103027,True,
200,2,TransCache,197.06640625,,23.015077590942383,True,
200,2,FS,192.8671875,,21.657983779907227,True,
200,2,PR,247.81640625,,52.03435707092285,True,
200,3,TransCache,196.08984375,,23.01498508453369,True,
200,3,FS,191.13671875,,21.51132583618164,True,
200,3,PR,249.3046875,,52.03269672393799,True,
200,4,TransCache,198.22265625,,23.016226768493652,True,
200,4,FS,192.72265625,,21.66439723968506,True,
200,4,PR,250.4765625,,52.02844047546387,True,
300,0,TransCache,198.85546875,,26.21262836456299,True,
300,0,FS,191.859375,,21.825666427612305,True,
300,0,PR,250.98828125,,52.66714000701904,True,
300,1,TransCache,197.94921875,,25.938121795654297,True,
300,1,FS,191.5078125,,21.822526931762695,True,
300,1,PR,249.734375,,52.67374801635742,True,
300,2,TransCache,198.5546875,,25.940282821655273,True,
300,2,FS,192.640625,,21.821276664733887,True,
300,2,PR,249.69921875,,52.90909194946289,True,
300,3,TransCache,199.09765625,,25.944435119628906,True,
300,3,FS,191.41796875,,21.823739051818848,True,
300,3,PR,250.74609375,,52.03746223449707,True,
300,4,TransCache,197.11328125,,26.221049308776855,True,
300,4,FS,192.6640625,,21.82386875152588,True,
300,4,PR,249.2265625,,52.90421962738037,True,
350,0,TransCache,201.9921875,,25.680041313171387,True,
350,0,FS,191.88671875,,22.016926765441895,True,
350,0,PR,252.30078125,,52.626296043395996,True,
350,1,TransCache,199.44140625,,26.039201736450195,True,
350,1,FS,191.46484375,,22.01562213897705,True,
350,1,PR,251.5,,52.63623046875,True,
350,2,TransCache,199.1640625,,26.064757347106934,True,
350,2,FS,192.72265625,,22.013736724853516,True,
350,2,PR,254.63671875,,52.5382194519043,True,
350,3,TransCache,203.75390625,,25.718092918395996,True,
350,3,FS,193.203125,,22.017579078674316,True,
350,3,PR,253.51171875,,52.62826156616211,True,
350,4,TransCache,200.90625,,26.02597141265869,True,
350,4,FS,192.71875,,22.0152587890625,True,
350,4,PR,252.6484375,,52.634626388549805,True,
400,0,TransCache,199.75390625,,25.568476676940918,True,
400,0,FS,193.3515625,,27.071173667907715,True,
400,0,PR,253.2265625,,53.07063293457031,True,
400,1,TransCache,207.7890625,,25.57274341583252,True,
400,1,FS,192.76171875,,27.068851470947266,True,
400,1,PR,253.3828125,,52.71657180786133,True,
400,2,TransCache,198.2265625,,25.5714054107666,True,
400,2,FS,193.828125,,27.07014274597168,True,
400,2,PR,254.41796875,,53.07122325897217,True,
400,3,TransCache,200.46484375,,25.575989723205566,True,
400,3,FS,192.9765625,,27.06977653503418,True,
400,3,PR,253.46875,,53.06853675842285,True,
400,4,TransCache,199.3828125,,25.57196044921875,True,
400,4,FS,191.6875,,27.07196044921875,True,
400,4,PR,254.6484375,,53.07877445220947,True,
450,0,TransCache,200.01953125,,26.235166549682617,True,
450,0,FS,194.1875,,27.604658126831055,True,
450,0,PR,252.953125,,53.26904582977295,True,
450,1,TransCache,204.1640625,,26.281478881835938,True,
450,1,FS,195.1015625,,27.61007308959961,True,
450,1,PR,253.44921875,,53.2568941116333,True,
450,2,TransCache,202.1484375,,26.246604919433594,True,
